word,count,portion
like,1089,0.0175991467080384
yeah,1080,0.017453699214583535
im,1048,0.01693655257118847
just,903,0.014593231843304567
got,822,0.013284204402210802
oh,791,0.01278321859142183
dont,777,0.012556966934936489
aint,767,0.012395358608875529
love,714,0.011538834480752448
know,683,0.011037848669963476
youre,547,0.008839975435534438
ooh,521,0.008419793787775947
girl,513,0.00829050712692718
time,492,0.007951129642199167
cause,461,0.007450143831410194
baby,444,0.007175409677106564
gonna,441,0.007126927179288277
little,428,0.00691683635540903
right,413,0.006674423866317593
good,386,0.006238081385953004
way,380,0.006141116390316429
night,362,0.005850221403406704
wanna,360,0.005817899738194512
make,308,0.004977536442677527
home,292,0.004718963120979993
say,265,0.0042826206406154045
long,252,0.004072529816736158
heart,247,0.003991725653705679
need,245,0.003959403988493487
let,242,0.0039109214906752
thats,241,0.0038947606580691037
ive,233,0.0037654739972203368
id,228,0.0036846698341898576
shes,224,0.003620026503765474
want,223,0.003603865671159378
hell,216,0.003490739842916707
man,209,0.003377614014674036
think,205,0.0033129706842496527
come,204,0.003296809851643557
ill,199,0.0032160056886130772
world,199,0.0032160056886130772
country,196,0.00316752319079479
life,195,0.003151362358188694
town,195,0.003151362358188694
theres,190,0.0030705581951582144
em,190,0.0030705581951582144
eyes,189,0.003054397362552119
tell,187,0.003022075697339927
said,186,0.003005914864733831
hey,174,0.0028119848734606805
thing,170,0.0027473415430362973
tonight,169,0.0027311807104302014
feel,169,0.0027311807104302014
gotta,167,0.0026988590452180095
god,160,0.0025857332169753385
song,157,0.0025372507191570508
day,153,0.0024726073887326675
didnt,152,0.0024564465561265716
better,150,0.0024241248909143798
thought,147,0.0023756423930960924
boo,147,0.0023756423930960924
til,146,0.0023594815604899965
old,145,0.0023433207278839006
did,143,0.0023109990626717087
gone,143,0.0023109990626717087
kiss,137,0.0022140340670351337
look,136,0.0021978732344290377
whiskey,135,0.002181712401822942
hand,130,0.0021009082387924627
away,130,0.0021009082387924627
leave,129,0.0020847474061863667
turn,127,0.002052425740974175
wont,124,0.0020039432431558876
beer,124,0.0020039432431558876
hard,122,0.0019716215779436957
blue,120,0.0019392999127315039
wrong,118,0.0019069782475193123
miss,117,0.0018908174149132163
bout,116,0.0018746565823071204
round,115,0.0018584957497010245
somebody,115,0.0018584957497010245
light,114,0.0018423349170949288
new,112,0.001810013251882737
maybe,110,0.0017776915866705453
mind,110,0.0017776915866705453
drink,107,0.0017292090888522576
drinkin,107,0.0017292090888522576
left,106,0.0017130482562461619
road,104,0.00168072659103397
going,103,0.0016645657584278741
bar,103,0.0016645657584278741
red,102,0.0016484049258217784
stay,97,0.001567600762791299
wish,96,0.0015514399301852031
crazy,96,0.0015514399301852031
hope,94,0.0015191182649730115
drunk,94,0.0015191182649730115
cold,94,0.0015191182649730115
truck,93,0.0015029574323669156
end,93,0.0015029574323669156
days,92,0.0014867965997608196
damn,91,0.0014706357671547237
boy,91,0.0014706357671547237
things,90,0.001454474934548628
hes,89,0.001438314101942532
lord,89,0.001438314101942532
live,88,0.0014221532693364362
goes,87,0.0014059924367303403
kinda,87,0.0014059924367303403
friends,85,0.0013736707715181486
break,85,0.0013736707715181486
lights,85,0.0013736707715181486
high,85,0.0013736707715181486
makes,84,0.0013575099389120527
sky,83,0.0013413491063059568
lets,83,0.0013413491063059568
ya,83,0.0013413491063059568
does,83,0.0013413491063059568
place,83,0.0013413491063059568
youll,82,0.001325188273699861
best,82,0.001325188273699861
lost,81,0.0013090274410937652
probably,80,0.0012928666084876693
tryna,80,0.0012928666084876693
ones,80,0.0012928666084876693
nothin,80,0.0012928666084876693
sun,79,0.0012767057758815733
head,79,0.0012767057758815733
girls,79,0.0012767057758815733
wouldnt,79,0.0012767057758815733
alright,77,0.0012443841106693817
slow,77,0.0012443841106693817
house,77,0.0012443841106693817
heaven,76,0.0012282232780632858
friday,76,0.0012282232780632858
close,75,0.0012120624454571899
really,74,0.0011959016128510942
believe,73,0.0011797407802449983
mama,73,0.0011797407802449983
trying,73,0.0011797407802449983
lose,73,0.0011797407802449983
used,73,0.0011797407802449983
truth,71,0.0011474191150328064
knew,71,0.0011474191150328064
big,71,0.0011474191150328064
smile,71,0.0011474191150328064
door,70,0.0011312582824267107
somebodys,70,0.0011312582824267107
hear,70,0.0011312582824267107
matter,70,0.0011312582824267107
half,69,0.0011150974498206148
forever,69,0.0011150974498206148
comes,69,0.0011150974498206148
hold,68,0.0010989366172145189
lookin,68,0.0010989366172145189
bet,68,0.0010989366172145189
bit,68,0.0010989366172145189
pretty,67,0.001082775784608423
walk,67,0.001082775784608423
money,66,0.0010666149520023272
gets,66,0.0010666149520023272
fall,66,0.0010666149520023272
hit,66,0.0010666149520023272
lonely,66,0.0010666149520023272
yall,66,0.0010666149520023272
dance,65,0.0010504541193962313
knows,65,0.0010504541193962313
la,65,0.0010504541193962313
fine,65,0.0010504541193962313
catch,65,0.0010504541193962313
youve,65,0.0010504541193962313
wait,64,0.0010342932867901354
kind,63,0.0010181324541840395
broke,63,0.0010181324541840395
seen,63,0.0010181324541840395
lips,63,0.0010181324541840395
face,63,0.0010181324541840395
couple,63,0.0010181324541840395
stop,63,0.0010181324541840395
neon,63,0.0010181324541840395
woah,63,0.0010181324541840395
room,62,0.0010019716215779438
phone,62,0.0010019716215779438
party,62,0.0010019716215779438
gettin,62,0.0010019716215779438
hate,62,0.0010019716215779438
coming,62,0.0010019716215779438
line,61,0.0009858107889718479
wild,60,0.0009696499563657519
doin,60,0.0009696499563657519
whats,60,0.0009696499563657519
