word,parent,count,portion
takoma,vehicle,0,0.0
montero,vehicle,1,0.0024875621890547263
harley,vehicle,2,0.004975124378109453
jeans,clothes,25,0.06218905472636816
cutoffs,clothes,1,0.0024875621890547263
jean,clothes,4,0.009950248756218905
shirt,clothes,29,0.07213930348258707
hat,clothes,7,0.017412935323383085
shoe,clothes,1,0.0024875621890547263
shoes,clothes,13,0.03233830845771144
dress,clothes,28,0.06965174129353234
boots,clothes,18,0.04477611940298507
bourbon,alcohol,8,0.01990049751243781
bottles,alcohol,6,0.014925373134328358
packs,alcohol,2,0.004975124378109453
rum,alcohol,1,0.0024875621890547263
shots,alcohol,7,0.017412935323383085
margarita,alcohol,2,0.004975124378109453
cocktail,alcohol,0,0.0
alcohol,alcohol,8,0.01990049751243781
hair,body parts,33,0.08208955223880597
mouth,body parts,7,0.017412935323383085
chest,body parts,7,0.017412935323383085
finger,body parts,7,0.017412935323383085
ears,body parts,1,0.0024875621890547263
hips,body parts,6,0.014925373134328358
legs,body parts,4,0.009950248756218905
body,body parts,12,0.029850746268656716
